source_id,r_lo,r_hi,n_points,hamiltonian_residual_mean,hamiltonian_residual_p95_abs,abs_weyl_mean,abs_weyl_p95_abs,ricci_trace_mean,ricci_trace_p95_abs,eigen_gap_mean,eigen_gap_p95_abs
B04,36.0,40.0,21208,4.216096706989506e-05,0.00016973822421277864,0.0006361369828787903,0.002258486452046776,0.00022534762045573555,0.0003931174287572497,0.3263354498287837,0.4818226620554924
B04,40.0,44.0,22890,4.6566990373912106e-05,0.0001632211911783088,0.00064395144574754,0.002479984564706682,0.000325978082160127,0.0008605100709246449,0.3222123912461733,0.4832674294710159
B04,44.0,48.0,23717,4.599955251058646e-05,0.0001872991502750666,0.000636073845939906,0.002693773712962867,0.0002857860986485516,0.0007277697091922169,0.32295777854759167,0.48098827600479127
B05,0.0,4.0,80,0.00212188586292541,0.00653080616611987,0.005137763269158313,0.006631297199055553,0.0238369288505055,0.036510448902845376,0.4224145904183388,0.48105005323886874
B05,4.0,8.0,554,0.0005215170930050228,0.0010496566188521685,0.005571467594734464,0.006938850972801447,0.003228755980135428,0.012179456232115629,0.4623369428224942,0.4944444254040718
B05,8.0,12.0,1501,0.00012729789667390037,0.00037260205135680735,0.002050192865262616,0.0035057079512625933,2.2192572722066727e-06,0.00037260184762999415,0.46139223048640915,0.4937417805194855
B05,12.0,16.0,2950,2.589875407902617e-05,6.685914086119737e-05,0.0007948823381211387,0.0012107135902624578,1.3553057555303697e-06,6.685937514703256e-05,0.3792892477657721,0.4878161698579788
B05,16.0,20.0,4846,1.3610090099925786e-05,3.977301730628824e-05,0.0004996217166085776,0.0012209854903630912,1.7829741220065605e-06,3.977287906309357e-05,0.29056204914567235,0.4741610959172249
B05,20.0,24.0,7183,2.6670896073656326e-05,0.00012282647221581973,0.0005607122438316559,0.0021858073072507974,4.016786385844091e-05,0.00013849679671693572,0.28074008925825167,0.47193545401096343
B05,24.0,28.0,10134,4.601630174793629e-05,0.00022102217044448486,0.0006942658761715478,0.003014596796128899,0.0003046700149511239,0.0004391804672195577,0.3025561265270098,0.47857902497053145
B05,28.0,32.0,13142,6.661562786732375e-05,0.00030686038517160295,0.0007710319354552876,0.003265318006742744,0.0004425508486960263,0.0007520614861277837,0.3156460491140737,0.48206848949193953
B05,32.0,36.0,15758,5.306381750267112e-05,0.0002383927072514779,0.000778996010242922,0.0031533919507637617,0.00028992478310992055,0.0005313250614562991,0.31775550779208594,0.48035179674625395
B05,36.0,40.0,18017,4.8405165793962274e-05,0.0001766128058079631,0.0006997532046517185,0.0025726346764713536,0.0003034961042936899,0.0008716090116649873,0.31904875360733875,0.47913203835487367
B05,40.0,44.0,19132,4.632355388951076e-05,0.00019546112598618507,0.0006427121957986703,0.002457999251782895,0.00033874882883307096,0.0021763411816209588,0.3136146184335138,0.4751469835639
B05,44.0,48.0,19632,4.3994691936028764e-05,0.00019250872937845998,0.000589070996146822,0.002259702200535685,0.0004135427454539118,0.002907784667331727,0.30374127994142824,0.47399958223104477
B06,0.0,4.0,81,0.002214267098331478,0.007157269865274429,0.005236152756059496,0.006920733489096165,0.025022750306460593,0.03882541507482529,0.421863078703115,0.475829541683197
B06,4.0,8.0,557,0.0005674289489581523,0.0011304316809400904,0.005690672309881936,0.007030599191784858,0.0033597464829804424,0.01151480246335267,0.4608301528373355,0.492430704832077
B06,8.0,12.0,1502,0.00012944167248632503,0.0003788554007769563,0.0021042379001267107,0.0035787386237643663,4.1975680030461204e-06,0.00037885516794631266,0.44993798266079393,0.4892508313059807
B06,12.0,16.0,2965,3.456908494560318e-05,0.00010479028715053567,0.0008400822155398253,0.0012975486926734448,-5.836131126294088e-06,0.00010479052725713694,0.360710360139332,0.4795753717422485
B06,16.0,20.0,4518,2.1013112483854513e-05,9.678407805040456e-05,0.0005593916854141463,0.0014349992561619724,4.716189785248105e-05,0.00010503473640710555,0.28337149840141984,0.4621041283011436
B06,20.0,24.0,6178,3.103351343282017e-05,0.00013328369605005716,0.0005257454981835716,0.0021690021036192774,0.0002242371413066392,0.00018512119131628408,0.2564067423958559,0.46098852455615996
B06,24.0,28.0,8095,3.91491151982729e-05,0.00017748135724104927,0.0006210135467212568,0.002639000630006192,0.00025909879254447436,0.00039827461005188363,0.2978676862952356,0.47571712732315063
B06,28.0,32.0,10245,5.1274835005418586e-05,0.00018954630068037653,0.0007151649196229114,0.0028418460860848405,0.00029156093946255105,0.000689521513413635,0.3198441628951236,0.4792072236537933
